,Open,High,Close
0,243.838837,247.21722400000002,493.0
1,245.97097799999997,246.421417,487.01000999999997
2,241.30630499999998,241.671677,480.220032
3,240.580582,240.61561600000002,474.880005
4,237.237244,244.444443,482.80001799999997
5,242.252258,248.353348,493.64999400000005
6,248.518524,250.375381,497.57000700000003
7,251.24624599999999,253.588593,506.38003499999996
8,253.623627,260.850861,521.030029
9,262.912903,267.96795699999996,532.4400019999999
10,267.017029,269.524536,535.3599849999999
11,270.770782,275.61560099999997,546.600037
12,266.74172999999996,269.094086,531.98999
13,264.35434,268.25827000000004,527.280029
14,264.34432999999996,269.97997999999995,534.01001
15,268.768768,272.272278,538.26001
16,269.829834,271.271271,528.9400019999999
17,299.049042,300.425415,597.619995
18,296.541534,301.326324,594.9400019999999
19,298.368378,302.64263900000003,602.549988
20,301.391388,301.716705,595.349976
21,297.312317,304.33432,606.98999
22,302.99798599999997,310.06005899999997,618.230042
23,306.987,313.01800499999996,618.980042
24,309.33432,314.064056,622.52002
25,308.89889500000004,310.785797,607.219971
26,302.89788799999997,308.29830899999996,610.9400019999999
27,302.417419,307.787781,603.6900019999999
28,305.915924,308.058044,606.77002
29,303.303314,305.14013700000004,592.400024
30,297.432434,301.801788,601.1700440000001
31,297.547546,299.724731,577.52002
32,291.561554,295.29528799999997,579.040039
33,281.771759,284.78479,546.02002
34,280.780792,287.59259,573.410034
35,280.970978,282.342346,549.01001
36,277.18719500000003,284.534546,562.130005
37,285.035034,285.535522,563.77002
38,276.992004,282.777771,557.22998
39,276.491486,276.49649,539.0
40,270.285278,272.117126,533.149963
41,261.997009,262.707703,504.880005
42,249.919922,257.692688,490.920013
43,252.252258,253.75375400000001,498.170013
44,252.001999,260.965973,518.820007
45,259.924927,265.26525899999996,523.290039
46,265.455444,268.9039,520.039978
47,260.25524900000005,265.490479,526.8599849999999
48,267.547546,269.994995,539.080017
49,269.364349,271.766754,540.6999509999999
50,272.64263900000003,273.423431,540.960022
51,270.64566,272.18719500000003,532.5
52,262.497498,264.22421299999996,524.840027
53,255.65565499999997,261.64163199999996,522.179993
54,265.490479,268.238251,534.030029
55,267.167175,269.81982400000004,534.960022
56,265.965973,267.59259,524.849976
57,259.239227,266.261261,530.119995
58,266.26626600000003,267.207214,529.52002
59,266.561554,268.743744,532.070007
60,268.01800499999996,272.762756,542.5599980000001
61,272.67266800000004,273.693695,546.679993
62,270.44543500000003,275.22522000000004,546.6700440000001
63,274.97497599999997,279.53955099999996,546.630005
64,274.11911000000003,277.777771,539.200012
65,263.388397,264.65466299999997,520.659973
66,258.538544,263.47348,525.51001
67,263.888885,266.73172,531.8900150000001
68,269.369354,273.798798,539.340027
69,271.021027,272.282288,528.840027
70,268.2883,268.91891499999997,527.5
71,260.365356,262.262268,515.039978
72,255.180176,256.256256,495.52002000000005
73,245.260254,251.97197000000003,501.89999400000005
74,248.423416,254.15416000000002,504.700012
75,254.003998,257.872864,514.710022
76,258.673676,260.510498,515.119995
77,262.852844,269.003998,537.169983
78,266.997009,273.673676,543.179993
79,274.339325,277.892883,548.5
80,275.290283,279.779785,558.98999
81,300.035034,300.100098,591.679993
82,292.152161,296.211212,582.409973
83,290.38537599999995,296.576569,590.51001
84,293.963959,296.326324,580.700012
85,291.241241,294.73974599999997,583.6700440000001
86,295.050049,296.671661,590.48999
87,293.653656,300.285278,596.4200440000001
88,296.846832,297.797791,583.159973
89,295.070068,295.38537599999995,586.3099980000001
90,299.509521,301.651642,598.6700440000001
91,297.55755600000003,301.45144700000003,600.1400150000001
92,297.842834,300.14514199999996,592.6400150000001
93,290.340332,293.048035,578.650024
94,292.74273700000003,294.27426099999997,584.820007
95,293.793793,299.049042,597.5
96,297.047058,300.170166,596.1400150000001
97,296.95697,304.694702,608.330017
98,304.80481000000003,307.492493,612.340027
99,302.432434,305.0,600.950012
100,303.26828,303.27828999999997,595.080017
101,300.950958,306.351349,608.350037
102,304.30429100000003,309.349335,613.0
103,306.706696,309.349335,616.5599980000001
104,306.346344,309.459473,611.4700320000001
105,305.330322,306.45144700000003,600.870056
106,301.3013,302.552551,594.880005
107,294.174164,294.544556,580.9400019999999
108,290.290283,292.777771,580.0
109,287.96295200000003,290.41540499999996,570.1099849999999
110,282.877869,287.42242400000003,563.0
111,289.97497599999997,294.70471200000003,588.190063
112,294.23422200000005,295.475464,582.929993
113,299.27426099999997,300.055054,599.3900150000001
114,300.300293,308.308319,613.77002
115,308.833832,312.312317,620.3599849999999
116,314.134125,316.26626600000003,625.650024
117,311.806793,314.62463399999996,623.77002
118,311.151154,313.143158,623.3900150000001
119,310.830841,314.03903199999996,616.0500490000001
120,309.309296,314.879883,627.419983
121,311.25125099999997,313.403412,625.389954
122,314.694702,318.598602,625.630066
123,311.236237,312.472473,618.070007
124,311.571564,312.312317,619.539978
125,312.472473,314.97497599999997,625.960022
126,314.319305,314.564575,621.830017
127,314.314301,316.236237,630.369995
128,315.320313,316.226227,625.820007
129,314.289276,316.18118300000003,629.700012
130,316.316315,317.657654,633.1400150000001
131,316.341339,322.567566,640.25
132,321.696686,322.822815,639.700012
133,321.066071,321.82180800000003,642.400024
134,321.331329,323.70370499999996,645.900024
135,326.796783,334.409424,665.409973
136,332.847839,335.46044900000004,668.280029
137,331.396393,332.31732200000005,659.01001
138,329.904907,330.330322,650.02002
139,323.573578,323.823822,622.460022
140,315.190186,317.21722400000004,623.1400150000001
141,312.062073,315.01001,625.960022
142,315.925934,316.761749,629.6400150000001
143,313.443451,313.788788,624.98999
144,316.306305,316.306305,628.580017
